ROWNUM;Region;TariffItem;UnitOfMeasure;StartDate;EndDate;MeasureDeviceAvail;StoveType;ConsumptionTime;ConsumptionTarget;Agency;TariffValue;global_id;
1;"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"105.45";"19693618";
2;"город Москва (за исключением Троицкого и Новомосковского АО)";"Водоотведение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"МГУП «Мосводоканал»";"16.65";"19693667";
3;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/кв.м";"01.07.2012";"31.08.2012";"нет";"";"";"дома с отоплением от газовых нагревателей";"ООО «Газпром межрегионгаз Москва»";"25.61";"19693682";
4;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.03";"19693607";
5;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.95";"19693669";
6;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.2";"19693597";
7;"город Москва";"Газ";"руб/куб.м";"11.01.2011";"15.01.2012";"да";"";"";"на приготовление пищи и горячее водоснабжение (подогрев воды при отсутствии централизованного горячего водоснабжения)";"ООО «Мосрегионгаз»";"4.09";"19693595";
8;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";"19693684";
9;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.66";"19693673";
10;"город Москва (за исключением Троицкого и Новомосковского АО)";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.71";"19693675";
11;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.7";"19693624";
12;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/1000 куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на отопление с одновременным использованием газа на другие цели (кроме отопления и (или) выработки электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах)";"ООО «Газпром межрегионгаз Москва»";"2930";"19693625";
13;"город Москва (за исключением Троицкого и Новомосковского АО)";"Газ";"руб/куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.7";"19693623";
14;"город Москва";"Газ";"руб/куб.м";"11.01.2011";"15.01.2012";"да";"";"";"на отопление жилых помещений, а также в случае использования для учета объема потребленного газа одного прибора учета при одновременном использовании газа по нескольким направлениям его потребления, для которых устанавливаются различные розничные цены";"ООО «Мосрегионгаз»";"2.93";"19693594";
